,0,1,2,3,4,5,6
NWG.ST,-30.77992,-31.3378,-30.915215,-31.383373,-30.89885,-31.32095,-31.434046
NYF.ST,-25.629635,-26.242607,-25.794521,-26.293371,-25.775034,-26.226414,-26.348106
ONCO.ST,15.863446,14.929302,15.642216,14.853894,15.667738,14.959748,14.77157
ORES.ST,-22.48503,-23.10978,-22.62676,-23.15923,-22.611712,-23.086987,-23.211681
PAX.ST,7.267806,6.4028854,7.067845,6.3338675,7.089819,6.4330554,6.2598357
PENG-B.ST,182.02539,179.70107,181.38509,179.50613,181.4641,179.75642,179.29187
PLED.ST,426.78464,422.5303,425.63956,422.1658,425.80023,422.6167,421.7352
PRCO-B.ST,-20.181854,-20.82579,-20.320272,-20.875439,-20.307526,-20.799065,-20.925785
RAY-B.ST,89.10374,87.57979,88.70699,87.45087,88.76089,87.61499,87.30054
SBB-B.ST,-30.117975,-30.682495,-30.249393,-30.727533,-30.23503,-30.662842,-30.775625
SCA-B.ST,-31.74627,-32.296368,-31.874792,-32.340508,-31.860289,-32.277786,-32.388332
SECT-B.ST,-39.930492,-40.41487,-40.0413,-40.453335,-40.029396,-40.397507,-40.494263
SENS.ST,789.17303,781.08014,786.5188,780.92865,787.2969,782.2775,781.0249
SEZI.ST,-29.879635,-30.445095,-30.013733,-30.490744,-29.998257,-30.426695,-30.540588
SF.ST,-33.495655,-34.03202,-33.625954,-34.075817,-33.61024,-34.015774,-34.12441
SINT.ST,-23.167786,-23.78773,-23.306149,-23.836346,-23.292194,-23.764002,-23.886986
SKF-B.ST,-3.2897782,-4.069033,-3.488522,-4.134262,-3.4622927,-4.049373,-4.2094083
SLITE.ST,-10.897068,-11.631431,-11.101241,-11.693333,-11.075659,-11.614694,-11.761831
SMF.ST,72.81228,71.41913,72.45133,71.30167,72.49995,71.45225,71.16533
SNM.ST,638.90674,632.5986,636.9781,632.24316,637.4002,633.07446,631.9129
SOF-B.ST,277.13144,274.07016,276.2683,273.81082,276.40097,274.13513,273.50143
