,0,1,2,3,4,5,6
FNM.ST,-0.08880439,-0.046555266,0.026859391,-0.05912704,0.08654287,-0.09053484,-0.19671571
FOI-B.ST,0.5309002,0.7684269,0.7312406,0.76109314,0.78847957,0.6960838,0.5995966
FPAR-D.ST,-9.557298,-9.279005,-9.346384,-9.315323,-9.324126,-9.414199,-9.51376
GOMX.ST,4.976295,3.3686373,3.8092172,4.7604,5.273835,6.336668,6.947395
GPG-PREF.ST,-1.4785062,-1.1751087,-1.2390856,-1.223983,-1.2233096,-1.3397338,-1.4552788
HELIO.ST,-2.270594,-2.7704725,-2.64143,-2.1346586,-1.9525104,-1.4711252,-1.2330452
HEXA-B.ST,-0.51017797,-0.14263727,-0.246868,-0.17402487,-0.21708305,-0.28647488,-0.39063913
HOFI.ST,-0.064454,-0.09376284,-0.020939467,0.0073501053,0.14756075,0.09338553,0.048114527
HTRO.ST,-1.3865789,-1.1195401,-1.1888871,-1.0877616,-1.0977739,-1.1227043,-1.1942489
ICO.ST,-0.4593235,-0.17514148,-0.23993032,-0.18013737,-0.18319477,-0.25201812,-0.3444104
INDEX.ST,1.076373,1.3491647,1.2756445,1.3941534,1.3798827,1.3698875,1.3036587
INDT.ST,-1.6527592,-1.3259428,-1.4094489,-1.3518463,-1.3742217,-1.4510847,-1.5525078
INFREA.ST,-9.950123,-9.88764,-9.827297,-9.91815,-9.792853,-9.968612,-10.073991
INTRUM.ST,0.26315898,0.5200093,0.45910776,0.5455868,0.5465341,0.5066922,0.42951322
INVE-A.ST,-1.0851909,-0.8258908,-0.86747736,-0.86232966,-0.838911,-0.95801514,-1.0684438
IRRAS.ST,2.1088452,1.848287,2.0069678,2.077775,2.3056855,2.3255951,2.3412955
JETPAK.ST,-6.9726944,-6.68782,-6.7454157,-6.731403,-6.729394,-6.837803,-6.945175
K2A-B.ST,0.15817894,0.40855506,0.37049955,0.38547575,0.41179034,0.30375892,0.19946225
KABE-B.ST,1.3840457,1.5810059,1.5284784,1.6797968,1.6874237,1.7192342,1.6796055
KIND-SDB.ST,1.0134155,0.5975239,0.8463778,0.80052394,1.1284465,1.0546569,1.0500805
KLOV-PREF.ST,-0.74510473,-0.46804008,-0.51653814,-0.51627445,-0.49873,-0.6263517,-0.7432203
LAGR-B.ST,-1.539176,-1.2958674,-1.3297049,-1.3267219,-1.2961714,-1.413998,-1.5213207
LEMSE.ST,3.5706975,2.1754847,2.5878422,3.3198323,3.8103535,4.6306453,5.1134734
LEO.ST,3.0694704,2.8741715,2.9176369,3.2897923,3.3936467,3.692886,3.8131475
